id,MPA_Name,Site_ID,Site_Name,Year,Latitude,Longitude,Zone,Percent.Coral,SE.Coral,Percent.SoftCoral,SE.SoftCoral,Percent.CCA,SE.CCA,Percent.Bleached,SE.Bleached,Percent.Rubble,SE.Rubble,Percent.OthAlgae,SE.OthAlgae
109,Kofiau dan Pulau Boo Marine Protected Area,2228,Taroiukoyer,2014,-1.15,129.42,Use,26.667,5.333333333,3,1.732050808,21.667,2.905932629,0,0,18.333,2.848001248,18,1.732050808
110,Kofiau dan Pulau Boo Marine Protected Area,2228,Taroiukoyer,2016,-1.15,129.42,Use,31.667,1.763834207,14.333,3.666666667,0,0,0,0,13,2.309401077,14.667,2.603416559
111,Kofiau dan Pulau Boo Marine Protected Area,2229,Warmaret,2009,-1.16,129.37,NTZ,40.667,4.977728174,21,2.645751311,0,0,0,0,15.667,4.977728174,1,0.577350269
112,Kofiau dan Pulau Boo Marine Protected Area,2229,Warmaret,2010,-1.16,129.37,NTZ,37,2.081665999,12,1.527525232,9.667,1.201850425,0,0,7.667,1.201850425,2,0.577350269
113,Kofiau dan Pulau Boo Marine Protected Area,2229,Warmaret,2011,-1.16,129.37,NTZ,35,4.725815626,9.667,0.881917104,2.333,0.333333333,0.333,0.333333333,10.667,2.603416559,2,0
114,Kofiau dan Pulau Boo Marine Protected Area,2229,Warmaret,2013,-1.16,129.37,NTZ,34.333,4.333333333,9.333,0.666666667,6,1,0,0,3.667,0.666666667,14,2.645751311
115,Kofiau dan Pulau Boo Marine Protected Area,2229,Warmaret,2014,-1.16,129.37,NTZ,25.333,2.333333333,17,2.309401077,14.667,2.02758751,0,0,2.333,0.333333333,8,3.214550254
116,Kofiau dan Pulau Boo Marine Protected Area,2229,Warmaret,2016,-1.16,129.37,NTZ,37.333,2.728450924,3.333,0.881917104,5,2.081665999,0,0,0.667,0.333333333,34,5.131601439
117,Kofiau dan Pulau Boo Marine Protected Area,2230,Yenimfan,2009,-1.16,129.35,NTZ,55.333,1.855921454,8.667,1.333333333,0,0,0,0,16.333,2.333333333,2.333,1.201850425
118,Kofiau dan Pulau Boo Marine Protected Area,2230,Yenimfan,2010,-1.16,129.35,NTZ,22.333,2.848001248,6.667,0.666666667,4.667,1.452966315,0,0,13.333,1.201850425,4.333,1.201850425
119,Kofiau dan Pulau Boo Marine Protected Area,2230,Yenimfan,2011,-1.16,129.35,NTZ,45.333,3.844187532,6,2,0.667,0.666666667,0.667,0.333333333,7.333,4.333333333,10.333,1.201850425
120,Kofiau dan Pulau Boo Marine Protected Area,2230,Yenimfan,2013,-1.16,129.35,NTZ,21.667,5.487359211,2.333,0.666666667,7,2.516611478,0,0,14.333,3.844187532,7,2.645751311
121,Kofiau dan Pulau Boo Marine Protected Area,2230,Yenimfan,2014,-1.16,129.35,NTZ,25,1.527525232,3.667,0.881917104,9.333,1.452966315,0,0,27.333,8.875684637,18,10.11599394
122,Kofiau dan Pulau Boo Marine Protected Area,2230,Yenimfan,2016,-1.16,129.35,NTZ,32.667,1.666666667,8,0.577350269,0,0,0,0,10.333,1.201850425,19.667,5.925462945
123,Kofiau dan Pulau Boo Marine Protected Area,2231,Tapordoker,2009,-1.15,129.32,NTZ,41.333,4.333333333,21,2,0,0,0,0,6.333,0.881917104,0.333,0.333333333
124,Kofiau dan Pulau Boo Marine Protected Area,2231,Tapordoker,2010,-1.15,129.32,NTZ,20.333,1.452966315,5,1,2.667,0.666666667,0,0,3,1.154700538,6.333,1.666666667
125,Kofiau dan Pulau Boo Marine Protected Area,2231,Tapordoker,2011,-1.15,129.32,NTZ,33,4.041451884,11.333,3.844187532,5.333,0.666666667,0,0,15.667,2.185812841,1,0.577350269
126,Kofiau dan Pulau Boo Marine Protected Area,2231,Tapordoker,2013,-1.15,129.32,NTZ,26.667,1.201850425,4.667,2.185812841,7,0.577350269,0,0,16.667,3.48010217,14,2.886751346
127,Kofiau dan Pulau Boo Marine Protected Area,2231,Tapordoker,2014,-1.15,129.32,NTZ,25.667,2.848001248,11.333,2.02758751,10.667,2.848001248,0,0,25.333,4.484541349,8.667,4.333333333
128,Kofiau dan Pulau Boo Marine Protected Area,2231,Tapordoker,2016,-1.15,129.32,NTZ,25,2.081665999,8,2.309401077,13.667,0.666666667,0,0,1.333,0.333333333,30.333,1.763834207
129,Kofiau dan Pulau Boo Marine Protected Area,2232,Tanjung Lampu,2009,-1.18,129.3,NTZ,46.333,1.763834207,19,3.605551275,0,0,0,0,11.667,4.910306621,0.333,0.333333333
130,Kofiau dan Pulau Boo Marine Protected Area,2232,Tanjung Lampu,2010,-1.18,129.3,NTZ,54.333,5.666666667,5.667,0.666666667,5.667,0.881917104,0,0,4,1,1.667,1.201850425
131,Kofiau dan Pulau Boo Marine Protected Area,2232,Tanjung Lampu,2011,-1.18,129.3,NTZ,34,4.358898944,14.667,1.855921454,3.333,0.881917104,0,0,9.667,6.333333333,1.333,0.333333333
132,Kofiau dan Pulau Boo Marine Protected Area,2232,Tanjung Lampu,2013,-1.18,129.3,NTZ,40,2.645751311,3.667,1.452966315,5.333,1.763834207,0,0,11,1.732050808,12.667,3.844187532
